,formula,target
634,Bi4 Cu4 Se9,2
635,Bi2 Dy1 Ni0.77,2
636,C2.5 Fe17 Pr2,2
637,Cu0.33 Hg0.34 In0.33 Te1,1
638,Al2.3 Ga2.7 Gd3 O12,1
639,N3 O9 Tb1,0
640,Bi3 Cs1 Se5,0
641,Ge3 Nd6 Se14,2
642,Eu1 Mn1 O3,0
643,Ag2 Dy1,0
644,N7 P3 Sr3,0
645,Al40 Ba17 Sr4,1
646,Co0.1 Li1.2 Mn0.556 Ni0.13 O2,1
647,Ba4 Fe2 Nb8 O30 Sm2,3
648,Fe0.857 Li0.571 Mn1.571 O4,1
649,Al2 Dy0.2 Er0.8,1
650,Al2.32 Mo1 Ni0.68,1
651, Ca6.18 Ce0.08 F5.6 Fe0.24 Mn1.1 Na5 Nb0.2 O30.4 Si8 Ti1.74 Y0.04 Zr1.34,3
652,Cs0.2 O3 W1,2
653,Cu2 Dy1 Ge2,0
